CBO before,CBO after,,WMC before,WMC after,,DIT before,DIT after,,NOC before,NOC after,,LCOM5 before,LCOM5 after,,CC before,CC after,,loc before,loc after,,LLOC before,LLOC after,,RFC before,RFC after,,CLOC before,CLOC after,,NOA before,NOA after,,NPM before,NPM after
7,3,,3,1,,2,3,,3,0,,1,0,,0,0,,7,18,,6,17,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0.875676,,7,42,,6,29,,3,1,,0,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0.875676,,7,42,,6,29,,3,1,,0,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,1,,7,31,,6,31,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,1,,7,31,,6,31,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0,,8,18,,7,17,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0.875676,,8,42,,7,29,,3,1,,0,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0.875676,,8,42,,7,29,,3,1,,0,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,1,,8,31,,7,31,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,1,,8,31,,7,31,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0.970588,0,,17,18,,13,17,,3,1,,10,0,,3,4,,19,19
